Date,Close,Eps,FedFundsRate
2019-10-28,3039.42,160.46,1.55
2019-10-29,3036.89,160.46,1.55
2019-10-30,3046.77,160.46,1.55
2019-10-31,3037.56,160.46,1.55
2019-11-01,3066.91,150.66,1.58
2019-11-04,3078.27,150.66,1.58
2019-11-05,3074.62,150.66,1.58
2019-11-06,3076.78,150.66,1.58
2019-11-07,3085.18,150.66,1.58
2019-11-08,3093.08,150.66,1.58
2019-11-11,3087.01,150.66,1.58
2019-11-12,3091.84,150.66,1.58
2019-11-13,3094.04,150.66,1.58
2019-11-14,3096.63,150.66,1.58
2019-11-15,3120.46,150.66,1.58
2019-11-18,3122.03,150.66,1.58
2019-11-19,3120.18,150.66,1.58
2019-11-20,3108.46,150.66,1.58
2019-11-21,3103.54,150.66,1.58
2019-11-22,3110.29,150.66,1.58
2019-11-25,3133.64,150.66,1.58
2019-11-26,3140.52,150.66,1.58
2019-11-27,3153.63,150.66,1.58
2019-11-29,3140.98,150.66,1.58
2019-12-02,3113.87,141.6,0.65
2019-12-03,3093.2,141.6,0.65
2019-12-04,3112.76,141.6,0.65
2019-12-05,3117.43,141.6,0.65
2019-12-06,3145.91,141.6,0.65
2019-12-09,3135.96,141.6,0.65
2019-12-10,3132.52,141.6,0.65
2019-12-11,3141.63,141.6,0.65
2019-12-12,3168.57,141.6,0.65
2019-12-13,3168.8,141.6,0.65
2019-12-16,3191.45,141.6,0.65
2019-12-17,3192.52,141.6,0.65
2019-12-18,3191.14,141.6,0.65
2019-12-19,3205.37,141.6,0.65
2019-12-20,3221.22,141.6,0.65
2019-12-23,3224.01,141.6,0.65
2019-12-24,3223.38,141.6,0.65
2019-12-26,3239.91,141.6,0.65
2019-12-27,3240.02,141.6,0.65
2019-12-30,3221.29,141.6,0.65
2019-12-31,3230.78,141.6,0.65
2020-01-02,3257.85,135.56,0.05
2020-01-03,3234.85,135.56,0.05
2020-01-06,3246.28,135.56,0.05
2020-01-07,3237.18,135.56,0.05
2020-01-08,3253.05,135.56,0.05
2020-01-09,3274.7,135.56,0.05
2020-01-10,3265.35,135.56,0.05
2020-01-13,3288.13,135.56,0.05
2020-01-14,3283.15,135.56,0.05
2020-01-15,3289.29,135.56,0.05
2020-01-16,3316.81,135.56,0.05
2020-01-17,3329.62,135.56,0.05
2020-01-21,3320.79,135.56,0.05
2020-01-22,3321.75,135.56,0.05
2020-01-23,3325.54,135.56,0.05
2020-01-24,3295.47,135.56,0.05
2020-01-27,3243.63,135.56,0.05
2020-01-28,3276.24,135.56,0.05
2020-01-29,3273.4,135.56,0.05
2020-01-30,3283.66,135.56,0.05
2020-01-31,3225.52,135.56,0.05
2020-02-03,3248.92,128.58,0.05
2020-02-04,3297.59,128.58,0.05
2020-02-05,3334.69,128.58,0.05
2020-02-06,3345.78,128.58,0.05
2020-02-07,3327.71,128.58,0.05
2020-02-10,3352.09,128.58,0.05
2020-02-11,3357.75,128.58,0.05
2020-02-12,3379.45,128.58,0.05
2020-02-13,3373.94,128.58,0.05
2020-02-14,3380.16,128.58,0.05
2020-02-18,3370.29,128.58,0.05
2020-02-19,3386.15,128.58,0.05
2020-02-20,3373.23,128.58,0.05
2020-02-21,3337.75,128.58,0.05
2020-02-24,3225.89,128.58,0.05
2020-02-25,3128.21,128.58,0.05
2020-02-26,3116.39,128.58,0.05
2020-02-27,2978.76,128.58,0.05
2020-02-28,2954.22,128.58,0.05
2020-03-02,3090.23,120.93,0.08
2020-03-03,3003.37,120.93,0.08
2020-03-04,3130.12,120.93,0.08
2020-03-05,3023.94,120.93,0.08
2020-03-06,2972.37,120.93,0.08
2020-03-09,2746.56,120.93,0.08
2020-03-10,2882.23,120.93,0.08
2020-03-11,2741.38,120.93,0.08
2020-03-12,2480.64,120.93,0.08
2020-03-13,2711.02,120.93,0.08
2020-03-16,2386.13,120.93,0.08
2020-03-17,2529.19,120.93,0.08
2020-03-18,2398.1,120.93,0.08
2020-03-19,2409.39,120.93,0.08
2020-03-20,2304.92,120.93,0.08
2020-03-23,2237.4,120.93,0.08
2020-03-24,2447.33,120.93,0.08
2020-03-25,2475.56,120.93,0.08
2020-03-26,2630.07,120.93,0.08
2020-03-27,2541.47,120.93,0.08
2020-03-30,2626.65,120.93,0.08
2020-03-31,2584.59,120.93,0.08
2020-04-01,2470.5,119.91,0.09
2020-04-02,2526.9,119.91,0.09
2020-04-03,2488.65,119.91,0.09
2020-04-06,2663.68,119.91,0.09
2020-04-07,2659.41,119.91,0.09
2020-04-08,2749.98,119.91,0.09
2020-04-09,2789.82,119.91,0.09
2020-04-13,2761.63,119.91,0.09
2020-04-14,2846.06,119.91,0.09
2020-04-15,2783.36,119.91,0.09
2020-04-16,2799.55,119.91,0.09
2020-04-17,2874.56,119.91,0.09
2020-04-20,2823.16,119.91,0.09
2020-04-21,2736.56,119.91,0.09
2020-04-22,2799.31,119.91,0.09
2020-04-23,2797.8,119.91,0.09
2020-04-24,2836.74,119.91,0.09
2020-04-27,2878.48,119.91,0.09
2020-04-28,2863.39,119.91,0.09
2020-04-29,2939.51,119.91,0.09
